Year,country code,country name,indicator code,indicator name,Value
1983,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.433406311
1984,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.932079261
1985,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.67018404
1986,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.800818008
1987,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),21.53151927
1988,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),11.97690888
1989,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.479383185
1990,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.162311848
1991,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.591297939
1992,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.017538378
1993,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.098370805
1994,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-34.80863877
1995,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),9.903468901
1996,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),5.897505607
1997,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.006621079
1998,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.681632104
1999,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),12.70538114
2000,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),9.993580323
2001,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.389710651
2002,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),6.265072805
2003,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),10.28368131
2004,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),9.457694811
2005,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),13.30333384
2006,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),10.94336007
2007,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),10.3984581
2008,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.476366066
2009,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.074778506
2010,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),5.076918432
2011,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.286658139
2012,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.650256579
2013,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.857499755
2014,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),8.000320746
2015,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.207034725
2016,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.905501161
2017,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),8.075039155
2018,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),8.776223762
2019,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.936950136
2020,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-3.555721934
2021,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.089842841
2022,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),5.103368887
2023,KHM,Cambodia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.960066589
