Destination_Country,Export,Import,Trade_Amount,Unit
World,24349.0,26108.0,50457.0,Million USD
RCEP Countries,8255.0,23111.0,31366.0,Million USD
ASEAN,4620.0,9689.0,14309.0,Million USD
Brunei Darussalam,7.0,25.0,32.0,Million USD
Indonesia,87.0,915.0,1002.0,Million USD
Lao PDR,16.0,220.0,236.0,Million USD
Malaysia,128.0,649.0,777.0,Million USD
Myanmar,1.0,31.0,31.0,Million USD
Philippines,44.0,35.0,79.0,Million USD
Singapore,261.0,891.0,1151.0,Million USD
Thailand,780.0,3132.0,3912.0,Million USD
Vietnam,3298.0,3790.0,7088.0,Million USD
Australia,444.0,102.0,547.0,Million USD
China,1608.0,12155.0,13762.0,Million USD
Japan,1272.0,677.0,1950.0,Million USD
Korea,288.0,474.0,762.0,Million USD
New Zealand,22.0,15.0,36.0,Million USD
European Union,4032.0,854.0,4887.0,Million USD
Belgium,334.0,24.0,358.0,Million USD
France,368.0,99.0,467.0,Million USD
Germany,828.0,139.0,967.0,Million USD
Netherlands,729.0,33.0,763.0,Million USD
Spain,953.0,23.0,976.0,Million USD
United Kingdom,886.0,47.0,932.0,Million USD
United States,9063.0,244.0,9308.0,Million USD
Canada,1011.0,52.0,1063.0,Million USD
United Arab Emirates,62.0,22.0,83.0,Million USD
India,144.0,176.0,319.0,Million USD
Others,897.0,1602.0,2499.0,Million USD
