Year,GDP_in_Billion_KHR,GDP_in_Million_USD,GDP_Growth_Rate_percentage,GDP_per_Capita_in_Million_KHR,GDP_per_Capita_in_USD
2005,25754.0,6293.0,20.1,2.0,487.0
2006,29849.0,7275.0,15.9,2.3,558.0
2007,35042.0,8631.0,17.4,2.7,656.0
2008,41968.0,10337.0,19.8,3.1,760.0
2009,43057.0,10400.0,2.6,3.2,753.0
2010,47048.0,11634.0,9.3,3.4,830.0
2011,52069.0,12965.0,10.7,3.7,911.0
2012,56682.0,14054.0,8.9,3.9,973.0
2013,61327.0,15229.0,8.2,4.2,1042.0
2014,67437.0,16734.0,10.0,4.6,1131.0
2015,73423.0,18242.0,8.9,4.9,1218.0
2016,81242.0,20159.0,10.6,5.4,1330.0
2017,89831.0,22191.0,10.6,5.8,1429.0
2018,99544.0,24488.0,10.8,6.3,1555.0
2019,110014.0,27030.0,10.5,6.9,1694.0
2020,105892.0,25967.0,-3.7,6.5,1606.0
2021,110506.0,27171.0,4.4,6.7,1659.0
2022,121030.0,29599.0,9.5,7.2,1765.0
